STATE,FIRE_YEAR,FIRE_COUNT
Utah,1999,1282
Utah,2000,1857
Utah,2001,1775
Utah,2002,1143
Utah,2003,1422
Utah,2004,1519
Utah,2005,1362
Utah,2006,1926
Utah,2007,1548
Utah,2008,1062
Utah,2009,1157
Utah,2010,1056
Utah,2011,1095
Utah,2012,1592
Utah,2013,1249
Utah,2014,1058
Utah,2015,605
Virginia,1992,43
Virginia,1993,54
Virginia,1994,78
Virginia,1995,1550
Virginia,1996,824
Virginia,1997,1133
Virginia,1998,1168
Virginia,1999,1583
Virginia,2000,988
Virginia,2001,2101
Virginia,2002,1572
Virginia,2003,344
Virginia,2004,301
Virginia,2005,786
Virginia,2006,1268
Virginia,2007,1446
Virginia,2008,1287
Virginia,2009,784
Virginia,2010,1026
Virginia,2011,813
Virginia,2012,685
Virginia,2013,581
Virginia,2014,821
Virginia,2015,597
Vermont,1992,1
Vermont,1993,1
Vermont,1994,6
Vermont,1995,2
Vermont,1997,2
Vermont,1998,2
Vermont,1999,3
Vermont,2002,6
Vermont,2003,9
Vermont,2004,16
Vermont,2005,26
Vermont,2006,4
Vermont,2007,5
Vermont,2008,5
Vermont,2009,1
Vermont,2010,2
Vermont,2012,97
Vermont,2013,126
Vermont,2014,55
Vermont,2015,87
Washington,1992,1774
Washington,1993,986
Washington,1994,2022
Washington,1995,1213
Washington,1996,1091
Washington,1997,999
Washington,1998,1477
Washington,1999,1475
Washington,2000,1226
Washington,2001,1158
Washington,2002,1418
Washington,2003,1433
Washington,2004,1591
Washington,2005,1089
Washington,2006,1577
Washington,2007,1304
Washington,2008,1490
Washington,2009,2000
Washington,2010,1048
Washington,2011,1028
Washington,2012,1428
Washington,2013,1378
Washington,2014,1567
Washington,2015,1741
Wisconsin,1992,1287
Wisconsin,1993,884
Wisconsin,1994,1973
Wisconsin,1995,1640
Wisconsin,1996,1463
Wisconsin,1997,1675
Wisconsin,1998,1611
Wisconsin,1999,1604
Wisconsin,2000,1578
Wisconsin,2001,993
Wisconsin,2002,949
Wisconsin,2003,2253
Wisconsin,2004,1161
Wisconsin,2005,1565
Wisconsin,2006,1658
Wisconsin,2007,1487
Wisconsin,2008,813
Wisconsin,2009,1578
Wisconsin,2010,1312
Wisconsin,2011,735
Wisconsin,2012,1380
Wisconsin,2013,692
Wisconsin,2014,605
Wisconsin,2015,965
West Virginia,1992,701
West Virginia,1993,847
West Virginia,1994,1010
West Virginia,1995,1241
West Virginia,1996,651
West Virginia,1997,719
West Virginia,1998,1006
West Virginia,1999,1949
West Virginia,2000,1106
West Virginia,2001,1789
West Virginia,2002,1000
West Virginia,2003,641
West Virginia,2004,618
West Virginia,2005,762
West Virginia,2006,1026
West Virginia,2007,836
West Virginia,2008,886
West Virginia,2009,984
West Virginia,2010,796
West Virginia,2011,489
West Virginia,2012,694
West Virginia,2013,580
West Virginia,2014,951
West Virginia,2015,685
Wyoming,1992,746
Wyoming,1993,269
Wyoming,1994,919
Wyoming,1995,530
Wyoming,1996,1032
Wyoming,1997,195
Wyoming,1998,198
Wyoming,1999,305
Wyoming,2000,571
Wyoming,2001,672
Wyoming,2002,670
Wyoming,2003,717
Wyoming,2004,409
Wyoming,2005,521
Wyoming,2006,769
Wyoming,2007,595
Wyoming,2008,449
Wyoming,2009,474
Wyoming,2010,631
Wyoming,2011,640
Wyoming,2012,1046
Wyoming,2013,581
Wyoming,2014,595
Wyoming,2015,632
